4641	Where should I park my rainy-day / emergency fund?
5503	Tax considerations for selling a property below appraised value to family?
7803	Can the Delta be used to calculate the option premium given a certain target?
7017	Basic Algorithmic Trading Strategy
10152	What does a high operating margin but a small but positive ROE imply about a company?
3451	Should you keep your stocks if you are too late to sell?
4804	How do financial services aimed at women differ from conventional services?
7911	What is the difference between a 'trader' and a 'stockbroker'?
10809	Definitions of leverage and of leverage factor
6715	What does it mean if “IPOs - normally are sold with an `underwriting discount` (a built in commission)”
2388	Do financial advisors get better deals on mortgages?
753	Taxes due for hobbyist Group Buy
4465	How to donate to charity that will make a difference?
7326	Do brokers execute every trade on the exchange?
5951	Why can't house prices be out of tune with salaries
5653	Steps and timing of the SEIS investment (in the UK)
10827	How much should I be contributing to my 401k given my employer's contribution?
9771	Is there any emprical research done on 'adding to a loser'
7105	What is the difference between fixed-income duration and equity duration?
9332	What can I do with a physical stock certificate for a now-mutual company?
3724	Should you always max out contributions to your 401k?
5853	Paying Off Principal of Home vs. Investing In Mutual Fund
6832	incorrect printed information on check stock
6807	How to incorporate dividends while calculating annual return of a Stock
570	Employer options when setting up 401k for employees
7279	If I invest in securities denominated in a foreign currency, should I hedge my currency risk?
594	Should a retail trader bother about reading SEC filings
10122	Why diversify stocks/investments?
3091	Am I considered in debt if I pay a mortgage?
904	How do I set up Quickbooks for a small property rental company that holds its properties in separate LLC's?
4037	How separate individual expenses from family expenses in Gnucash?
8537	What is an “Options Account”?
3357	Why big clients want the contractor to be incorporated before giving them work
1783	Freelancing Tax implication
6004	Put-Call parity - what is the difference between the two representations?
2923	Should I give to charity by check or credit card?
5271	Why are auto leases stubbornly strict about visa status and how to work around that?
2108	Can I pay taxes using bill pay from my on-line checking account?
7590	Why are US target retirement funds weighted so heavily towards US stocks?
932	Is freelance income earned by a U.S. citizen while living abroad subject to state income tax?
5981	Is it a good investment for a foreigner to purchase a flat/apartment in China?
4837	When applying for a mortgage, can it also cover outstanding debts?
4415	How much is inflation?
1915	Should I pay a company who failed to collect VAT from me over 6 months ago?
8378	Should I wait a few days to sell ESPP Stock?
2316	What exchange rate does El Al use when converting final payment amount to shekels?
8102	When do I sell a stock that I hold as a long-term position?
3405	Non Resident aliens - Question of standard vs itemized
7928	If I believe a stock is going to fall, what options do I have to invest on this?
603	Will one’s education loan application be rejected if one doesn't have a payslip providing collateral?
1281	How FTB and IRS find mistakes in amended tax returns? Are their processes reliable?
3830	US citizen transferring money to Indian fiance to buy property
3837	Opening a Roth IRA account, what is the fee structure for Vanguard, Scottrade and TIAA-CREF
4447	Should I always hold short term bonds till maturity?
2376	Why do gas stations charge different amounts in the same local area?
4777	How to finance necessary repairs to our home in order to sell it?
5741	Learning investing and the stock market
2318	F1 student and eBay selling tax
620	Is it wise to have plenty of current accounts in different banks?
8271	Income in zero-interest environment
4865	Why are historical prices of stocks different on different websites? Which one should I believe?
864	Why use accounting software like Quickbooks instead of Excel spreadsheets?
5888	Interest charges on balance transfer when purchases are involved
2568	How to pay with cash when car shopping?
5150	What credit card information are offline US merchants allowed to collect for purposes other than the transaction?
7124	How come we can find stocks with a Price-to-Book ratio less than 1?
2857	I have around 60K $. Thinking about investing in Oil, how to proceed?
8539	Can the risk of investing in an asset be different for different investors?
6896	Selling high, pay capital gains, re-purchase later
1085	How do disputed debts work on credit reports?
5422	What are some good books for learning stocks, bonds, derivatives e.t.c for beginner with a math background?
8247	Tax on Stocks or ETF's
4946	Something looks off about Mitsubishi financial data
10482	Rollover into bond fund to do dollar cost averaging [duplicate]
4571	HSBC Hong Kong's “Deposit Plus” Product: What is it, and what strategies to employ?
8789	What does “profits to the shareholders jumped to 15 cents a share” mean?
8034	What is the average cost of a portfolio on a trading site?
4600	Why government bonds fluctuate so much, even though interest rates don't change that often?
2423	At what age should I start or stop saving money?
8475	Why I cannot find a “Pure Cash” option in 401k investments?
4523	What should I do with my $25k to invest as a 20 years old?
8513	Buy on dip when earnings fail?
1198	What are the consequences of IRS “reclassification” on both employer and employee?
9291	Are there any consequences for investing in Vanguard's Admiral Shares funds instead of ETF's in a Roth IRA?
8532	What do these options trading terms mean?
1824	Is there a way to open a U.S. bank account for my LLC remotely?
5054	How to stress test an investment plan?
1159	what is the best way to do a freelancing job over the summer for a student
4920	Does financing a portfolio on margin affect the variance of a portfolio?
68	Intentions of Deductible Amount for Small Business
7269	How do I track investment performance in Quicken across rollovers?
750	Paid part of my state refund back last year; now must declare the initial amount as income?
9701	How to bet against the London housing market?
6199	How can all these countries owe so much money?  Why & where did they borrow it from?
9126	Short an option - random assignment?
34	401k Transfer After Business Closure
4011	How can I deal with a spouse who compulsively spends?
4700	Better to get loan from finance company or bank considering the drop of credit score?
6395	Option settlement for calendar spreads
852	Dalbar: How can the average investor lose money?
9115	Why does the calculation for percentage profit vary based on whether a position is short vs. long?
1297	Why aren't there solutions for electronic itemized receipt for retail in-store purchases?
5085	What is vested stock and yearly dividends?
4767	New car: buy with cash or 0% financing
2593	Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan?
2724	How do you determine the dividend payout date for Mutual Funds?
11088	Am I required to have a lawyer create / oversee creation of my will?
18	1 EIN doing business under multiple business names
109	How to account for money earned and spent prior to establishing business bank accounts?
8351	What happens when a calendar spread is assigned in a non-margin account?
6131	Is it ever a good idea to close credit cards?
3480	Why is OkPay not allowed in the United States?
7992	What type of pension should I get?
858	Is it bad practice to invest in stocks that fluctuate by single points throughout the day?
4019	How and Should I Invest (As a college 18 year old with minimal living expenses)?
6080	Is ScholarShare a legitimate entity for a 529 plan in California?
2580	Stock market vs. baseball card trading analogy
7513	Where are Bogleheadian World ETFs or Index funds?
6959	What is the term for the quantity (high price minus low price) for a stock?
5402	Is it impossible to get a home loan with a poor credit history after a divorce?
4504	what is the best way of investment which gives returns forever?
6562	Cheapest way to “wire” money in an Australian bank account to a person in England, while I'm in Laos?
4775	Should I finance a car to build credit for a mortgage next year?
9565	What are the tax benefits of dividends vs selling stock
10734	How do you translate a per year salary into a part-time per hour job?
701	What are the ins/outs of writing-off part of one's rent for working at home?
585	Following an investment guru a good idea?
8934	Dividend yield for multiple years?
11054	Short Term Capital Gains tax vs. IRA Withdrawal Tax w/o Quarterly Est. Taxes
56	Can a entrepreneur hire a self-employed business owner?
6862	Canada discount stock brokers: Interactive Brokers vs. Questrade?
9598	How do index funds actually work?
4265	Does it make any sense to directly contribute to reducing the US national debt?
90	Filing personal with 1099s versus business s-corp?
8592	Tax implications of exercising ISOs and using proceeds to exercise more ISOs
10547	How much do brokerages pay exchanges per trade?
5231	Where to find CSV or JSON data for publicly traded companies listed with their IPO date?
7674	Choosing the limit when making a limit order?
3103	AVS Address Verification System of BOTH Credit and Debit Cards - WHERE, HOW?
10137	F-1 student investing in foreign markets
1415	I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT?
5940	How does investment into a private company work?
6612	If I have a lot of debt and the housing market is rising, should I rent and slowly pay off my debt or buy and roll the debt into a mortgage?
945	Paid by an American company but working from France: where should I pay taxes?
2549	How to graph the market year over year? for example Dow Jones Index
4714	Personal finance app where I can mark transactions as “reviewed”?
588	Is there a reason to buy a 0% yield bond?
4233	Are personal finance / money management classes taught in high school, anywhere?
6441	Trading with Settled / Unsettled Funds (T+3)
8456	What typically happens to unvested stock during an acquisition?
10213	Looking for good investment vehicle for seasonal work and savings
106	What approaches are there for pricing a small business?
4306	How do currency markets work? What factors are behind why currencies go up or down?
5196	I might use a credit card convenience check. What should I consider?
3006	Strategies for putting away money for a child's future (college, etc.)?
7205	Is it possible to see option prices from the past?
3909	How to rescue my money from negative interest?
4116	Would the effects of an anticipated default by a nation be mostly symbolic?
4942	find stock composition of a publicly traded fund
6907	Nominal value of shares
5464	Resources on Buying Rental Properties
2385	As director, can I invoice my self-owned company?
691	How to categorize credit card payments?
3177	Vanguard ETF vs mutual fund
10034	Tax implications of holding EWU (or other such UK ETFs) as a US citizen?
5090	Should I take a student loan to pursue my undergraduate studies in France?
2088	How would I go about selling the stock of a privately held company?
9391	Should I replace bonds in a passive investment strategy
529	Sole proprietorship or LLC?
2118	What happened in Argentina in 2001 bank sector? did the banks closed? all or some?
3148	Can a car company refuse to give me a copy of my contract or balance details?
4955	How to calculate the value of a bond that is priced to yield X%
8275	Buy/Selling prices at the stock exchange represent someone Selling/Buying at that price?
4678	Finance, Cash or Lease?
2398	Frustrated Landlord
3569	Funds in closed bank account have gone to the government
8072	What does it mean “sell on ask” , “sell on bid” in stocks?
7734	Can PE ratio of stocks be compared to other investments?
8947	Can a Roth IRA be used as a savings account?
6746	What happens if stock purchased on margin plummets below what I have in the brokerage?
5511	Pay off car loan entirely or leave $1 until the end of the loan period?
6009	Why can low volume move a stock price drastically?
813	Income Tax and Investments
8834	Pros/Cons of Buying Discounted Company Stock
1157	Personal taxes for Shopify / Paypal shop?
988	Where should I invest my savings?
3369	Why should one only contribute up to the employer's match in a 401(k)?
9296	Why would Two ETFs tracking Identical Indexes Produce different Returns?
9643	Is there any public data available to determine an ETF's holdings?
9245	Stock Options for a company bought out in cash and stock
3490	Tax Witholding for Stock Sale
5763	What is the best way to get a “rough” home appraisal prior to starting the refinance process?
26	Applying for and receiving business credit
4962	Net Cash Flows from Selling the Bond and Investing
4846	Is there anything comparable to/resembling CNN's Fear and Greed Index?
2460	What are the consequences of not respecting a notice period when leaving a job?
9403	Abundance of Cash - What should I do?
5646	Do I need multiple credit monitoring services?
3503	Is there any instance where less leverage will get you a better return on a rental property?
2676	Tax question about selling a car
929	Freelancer: Should I start a second bank account?
5993	Why would anyone want to pay off their debts in a way other than “highest interest” first?
10845	Rationale behind using 12, 26 and 9 to calculate MACD
8116	A-B-C Class Shares: What's the difference?
9633	Video recommendation for stock market education
5710	Bucketing investments to track individual growths
9824	Where can end-of-day data be downloaded for corporate bonds?
7529	Does the expense ratio of a fund-of-funds include the expense ratios of its holdings?
475	Do I need a new EIN since I am hiring employees for my LLC?
5021	Is there a more flexible stock chart service, e.g. permitting choice of colours when comparing multiple stocks?
9548	How do I research, analyze, and choose the right mutual fund for a roth ira?
7592	few question about debit credit and liabilities
2968	Should I prioritize retirement savings inside of my HSA?
7758	Bid/ask spreads for index funds
3612	How can I buy and sell the same stock on the same day?
10596	Does a market maker sell (buy) at a bid or ask price?
4153	How do I invest in emerging markets
4409	My friend wants to put my name down for a house he's buying. What risks would I be taking?
5369	Paying for things on credit and immediately paying them off: any help for credit rating?
2070	Advantage of credit union or local community bank over larger nationwide banks such as BOA, Chase, etc.?
5505	Can I deduct interest and fees on a loan for qualified medical expenses?
6611	How does Vanguard determine the optimal asset allocation for their Target Retirement Funds?
11039	Pay off credit card debt or earn employer 401(k) match?
5460	Paying off a loan with a loan to get a better interest rate
7925	Can I sell a stock immediately?
4286	Given advice “buy term insurance and invest the rest”, how should one “invest the rest”?
3789	How to work around the Owner Occupancy Affidavit to buy another home in less than a year?
5228	How does the bank/IRS know whether a bank transfer over $14k is a gift or loan repayment?
2685	What ways are there for us to earn a little extra side money?
8702	Why is early exercise generally not recommended for an in-the-money option?
1877	As a Sole Proprietor, will “employer” Solo 401k contributions count towards gross income?
